week,date,weight,shoulders,arm,forearm,chest,waist,hips,thigh,body_fat,muscle_mass
0,24-Nov,66 kg,47 cm,31.5 cm,27.5 cm,92 cm,85 cm,92 cm,57 cm,22%,29.2 kg
1,1-Dec,67.5 kg,48 cm,32 cm,28 cm,93 cm,86 cm,93 cm,58 cm,21%,30.1 kg
2,8-Dec,72.55 kg,48 cm,32 cm,28 cm,94 cm,85 cm,96 cm,58 cm,23.20%,31.5 kg
3,15-Dec,71.5 kg,49 cm,32.5 cm,28.5 cm,94 cm,85 cm,94.5 cm,57 cm,22%,31.8 kg
4,22-Dec,70.7 kg,50 cm,32.5 cm,28.5 cm,95 cm,84 cm,93 cm,56 cm,20.50%,32.2 kg
5,29-Dec,73.5 kg,51 cm,33 cm,29 cm,95 cm,85 cm,92 cm,57 cm,20%,32.9 kg
6,5-Jan,74.7 kg,51 cm,34 cm,29 cm,96 cm,87 cm,92 cm,58 cm,21.60%,33.7 kg
7,12-Jan,75.3 kg,53 cm,35 cm,29 cm,96 cm,88 cm,96 cm,62 cm,22.10%,33.7 kg
8,19-Jan,76.1 kg,53 cm,35 cm,29 cm,96 cm,88 cm,96 cm,62 cm,22%,34.2 kg
9,26-Jan,77 kg,54 cm,35 cm,30 cm,96 cm,87 cm,98 cm,62 cm,21.80%,34.6 kg
10,2-Feb,75.5 kg,53 cm,35 cm,29 cm,95 cm,85 cm,96 cm,53 cm,22.10%,33.9 kg

