date,workout_category,workout_type,workout_name,sets,reps,weight_kg,volume_load_kg,estimated_one_repMax
24-Nov,Push,Chest (compound),Flat Bench Press,2,20,20,800,33.33
24-Nov,Push,Chest (isolation),Pec Deck ,2,20,20,800,33.33
24-Nov,Pull,Back (vertical pull),Wide-Grip Lat Pulldown,2,20,20,800,33.33
24-Nov,Pull,Back (horizontal pull),Cable Row,2,20,32.5,1300,54.17
24-Nov,Push,Triceps,Front and Back Triceps Pushdown,2,12,15,360,21
24-Nov,Pull,Biceps,Biceps Cable Curl,2,20,20,800,33.33
25-Nov,Legs,Legs (compound),Back Squat,2,24,20,960,36
25-Nov,Legs,Legs (isolation),Leg Extension,2,24,30,1440,54
25-Nov,Legs,Legs (isolation),Seated Hamstring Curls,2,24,30,1440,54
25-Nov,Legs,Hips/Glutes,Outer Thigh Abduction,2,24,15,720,27
25-Nov,Legs,Hips/Adductors,Inner Thigh Abduction,2,24,15,720,27
25-Nov,Core,Core,Crunches,2,20,1,40,1.67
26-Nov,Push,Chest (upper-focus),Incline Dumbbell Bench Press,2,20,20,800,33.33
26-Nov,Push,Shoulders,Dumbbell Shoulder Press,2,20,7.5,300,12.5
26-Nov,Push,Shoulders,Hip-height Cable Lateral Raises,2,40,5,400,11.67
26-Nov,Push,Triceps,Isolated Tricep Pushdown,2,20,15,600,25
26-Nov,Pull,Biceps,Biceps Cable Curl,2,20,20,800,33.33
27-Nov,Legs,Legs (compound),Back Squat,2,20,20,800,33.33
27-Nov,Legs,Legs (compound),Goblet Squat,2,20,7.5,300,12.5
27-Nov,Legs,Legs (isolation),Seated Hamstring Curls,2,20,40,1600,66.67
27-Nov,Legs,Hips/Glutes(abductor),Outer Thigh Abduction,2,20,20,800,33.33
27-Nov,Legs,Hips/Adductors,Inner Thigh Abduction,2,20,20,800,33.33
27-Nov,Push,Forearms/Grip,Forearm Cable Pushdown,2,20,20,800,33.33
27-Nov,Pull,Traps,Trap Bar Shrugs,2,20,40,1600,66.67
1-Dec,Push,Chest (compound),Flat Bench Press,2,20,30,1200,50
1-Dec,Push,Chest (isolation),Pec Deck ,2,20,40,1600,66.67
1-Dec,Pull,Back (horizontal pull),Cable Row,2,20,32.5,1300,54.17
1-Dec,Pull,Back (vertical pull),Wide-Grip Lat Pulldown,2,20,45,1800,75
1-Dec,Push,Shoulders,Hip-height Cable Lateral Raises,2,40,5,400,11.67
1-Dec,Push,Triceps,Isolated Tricep Pushdown,2,20,10,400,16.67
1-Dec,Pull,Biceps,Biceps Cable Curl,2,20,20,800,33.33
3-Dec,Legs,Legs (compound),Back Squat,2,20,30,1200,50
3-Dec,Legs,Legs (isolation),Isolated Leg Extension,2,20,25,1000,41.67
3-Dec,Legs,Legs (isolation),Seated Hamstring Curls,2,20,40,1600,66.67
3-Dec,Legs,Hips/Glutes (abductor),Outer Thigh Abduction,2,20,20,800,33.33
3-Dec,Legs,Hips/Adductors,Inner Thigh Abduction,2,20,25,1000,41.67
3-Dec,Legs,Calf,Calves Raise w/ Kettlebell,2,20,14,560,23.33
3-Dec,Core,Core,Crunches,2,20,1,40,1.67
4-Dec,Pull,Back (vertical pull),Wide-Grip Lat Pulldown,2,20,50,2000,83.33
4-Dec,Pull,Back (horizontal pull),Single Arm Cable Row,2,20,13,520,21.67
4-Dec,Push,Chest (compound),Flat Bench Press,2,20,30,1200,50
4-Dec,Push,Shoulders,Hip-height Cable Lateral Raises,2,40,5,400,11.67
4-Dec,Pull,Forearms/Grip,Cable Standing Wrist Curl,1,10,5,50,6.67
4-Dec,Pull,Forearms/Grip,Cable Standing Wrist Reverse Curl,1,10,5,50,6.67
4-Dec,Pull,Traps,Trap Bar Shrugs,2,20,40,1600,66.67
6-Dec,Legs,Legs (compound),Back Squat,2,20,30,1200,50
6-Dec,Legs,Legs (isolation),Isolated Leg Extension,2,20,25,1000,41.67
6-Dec,Legs,Legs (isolation),Seated Hamstring Curls,2,20,40,1600,66.67
6-Dec,Legs,Hips/Glutes (abductor),Outer Thigh Abduction,2,20,20,800,33.33
6-Dec,Legs,Hips/Adductors,Inner Thigh Abduction,2,20,20,800,33.33
6-Dec,Legs,Calf,Standing Barbell Calf Raise,2,20,40,1600,66.67
6-Dec,Core,Core,Crunches,3,20,1,60,1.67
8-Dec,Push,Chest (compound),Flat Bench Press,2,20,30,1200,50
8-Dec,Push,Chest (isolation),Pec Deck ,2,20,20,800,33.33
8-Dec,Push,Shoulders,Dumbbell Shoulder Press,2,20,10,400,16.67
8-Dec,Push,Shoulders,Hip-height Cable Lateral Raises,2,40,5,400,11.67
8-Dec,Push,Triceps,Isolated Tricep Pushdown,2,20,10,400,16.67
8-Dec,Pull,Biceps,Biceps Cable Curl,2,20,30,1200,50
10-Dec,Legs,Legs (compound),Smith Machine Back Squat,2,20,40,1600,66.67
10-Dec,Legs,Legs (isolation),Leg Extension,2,20,30,1200,50
10-Dec,Legs,Legs (isolation),Seated Hamstring Curls,2,20,50,2000,83.33
10-Dec,Legs,Calves,Standing Barbell Calf Raise,2,20,30,1200,50
10-Dec,Posterior Chain,Lower Back,Roman Chair Back Extension,2,20,1,40,1.67
10-Dec,Core,Core,Crunches,2,25,1,50,1.83
11-Dec,Push,Chest (compound),Incline Chest Press,2,20,40,1600,66.67
11-Dec,Push,Shoulders (compound),Dumbbell Shoulder Press,2,30,12.5,750,25
11-Dec,Push,Shoulders (isolation),Hip-height Cable Lateral Raises,2,40,5,400,11.67
11-Dec,Pull,Back (compound),Wide-Grip Lat Pulldown,2,24,30,1440,54
11-Dec,Pull,Back (compound),Single Arm Cable Row,2,30,30,1800,60
11-Dec,Push,Triceps,Isolated Tricep Pushdown,2,20,4.5,180,7.5
11-Dec,Pull,Biceps,Preacher Curl Dumbbell,2,26,4.5,234,8.4
12-Dec,Legs,Legs (compound),Back Squat,2,24,30,1440,54
12-Dec,Legs,Legs (isolation),Isolated Leg Extension,2,57,30,3420,87
12-Dec,Legs,Hips/Glutes (abductor),Outer Thigh Abduction,2,30,20,1200,40
12-Dec,Legs,Hips/Adductors,Inner Thigh Abduction,2,30,25,1500,50
12-Dec,Pull,Forearms/Grip,Forearm Curl Dumbbell,2,24,8,384,14.4
12-Dec,Pull,Traps,Trap Bar Shrugs,2,24,40,1920,72
17-Dec,Pull,Back (compound),Wide-Grip Lat Pulldown,2,30,32.5,1950,65
17-Dec,Pull,Back (compound),Single Arm Cable Row,2,24,19,912,34.2
17-Dec,Push,Shoulders (compound),Dumbbell Shoulder Press,2,20,12.5,500,20.83
17-Dec,Push,Shoulders (isolation),Hip-height Cable Lateral Raises,2,40,5,400,11.67
17-Dec,Push,Chest (compound),Dumbbell Bench Press,2,20,10,400,16.67
17-Dec,Push,Triceps,Isolated Tricep Pushdown,2,16,10,320,15.33
19-Dec,Legs,Legs (compound),Back Squat,2,28,30,1680,58
19-Dec,Legs,Legs (isolation),Leg Extension,2,35,40,2800,86.67
19-Dec,Legs,Legs (isolation),Seated Hamstring Curls,2,30,60,3600,120
19-Dec,Legs,Hips/Glutes (abductor),Outer Thigh Abduction,2,30,25,1500,50
19-Dec,Legs,Hips/Adductors,Inner Thigh Abduction,2,24,25,1200,45
19-Dec,Legs,Calves,Standing Barbell Calf Raise,2,24,40,1920,72
19-Dec,Core,Core,Crunches,2,25,1,50,1.83
19-Dec,Pull,Forearms/Grip,Seated Dumbbell Wrist Curls,2,30,8,480,16
19-Dec,Pull,Forearms/Grip,Seated Dumbbell Reverse Wrist Curls,2,30,8,480,16
19-Dec,Pull,Traps,Trap Bar Shrugs,2,24,40,1920,72
22-Dec,Push,Chest (compound),Dumbbell Bench Press,2,22,12.5,550,21.67
22-Dec,Push,Chest (isolation),Pec Deck ,2,19,30,1140,49
22-Dec,Push,Shoulders (compound),Dumbbell Shoulder Press,2,22,12.5,550,21.67
22-Dec,Push,Shoulders (isolation),Hip-height Cable Lateral Raises,2,22,10,440,17.33
22-Dec,Pull,Biceps ,Biceps Cable Curl,2,20,30,1200,50
22-Dec,Push,Triceps,Overhead Triceps Extensions,2,19,25,950,40.83
23-Dec,Legs,Legs (compound),Back Squat,2,20,40,1600,66.67
23-Dec,Legs,Legs (isolation),Leg Extension,2,35,43,3010,93.17
23-Dec,Legs,Legs (isolation),Seated Hamstring Curls,2,33,43,2838,90.3
23-Dec,Core,Core,Reverse Crunch,2,25,1,50,1.83
23-Dec,Pull,Traps,Kettlebell Shrugs,2,20,40,1600,66.67
26-Dec,Push,Chest (compound),Chest Press Machine,2,20,30,1200,50
26-Dec,Push,Chest (isolation),Pec Deck ,2,24,32,1536,57.6
26-Dec,Push,Shoulders (compound),Dumbbell Shoulder Press,2,18,12.5,450,20
26-Dec,Push,Shoulders (isolation),Hip-height Cable Lateral Raises,2,16,5,160,7.67
26-Dec,Pull,Back (compound),Wide-Grip Lat Pulldown,2,21,45,1890,76.5
26-Dec,Pull,Back (compound),Iso-Lateral Low Row,2,53,30,3180,83
27-Dec,Legs,Legs (compound),Back Squat,2,20,40,1600,66.67
27-Dec,Legs,Legs (isolation),Leg Extension,2,27,45,2430,85.5
27-Dec,Legs,Legs (isolation),Lying Hamstring Curls,2,12,30,720,42
27-Dec,Legs,Calves,Leg Press Calf Raise,2,24,36,1728,64.8
27-Dec,Legs,Legs (compound),Dumbbell Wide Squat,2,25,20,1000,36.67
27-Dec,Core,Core,Crunches,2,25,1,50,1.83
27-Dec,Pull,Forearms/Grip,Seated Dumbbell Wrist Curls,2,20,10,400,16.67
27-Dec,Pull,Forearms/Grip,Seated Dumbbell Reverse Wrist Curls,2,20,10,400,16.67
29-Dec,Push,Chest (compound),Dumbbell Bench Press,2,24,12.5,600,22.5
29-Dec,Push,Chest (isolation),Pec Deck ,2,20,32,1280,53.33
29-Dec,Push,Shoulders (compound),Shoulder Press Machine,2,19,50,1900,81.67
29-Dec,Push,Shoulders (isolation),Hip-height Cable Lateral Raises,2,40,5,400,11.67
29-Dec,Push,Triceps,Isolated Tricep Pushdown,2,16,10,320,15.33
29-Dec,Push,Triceps,Cable Overhead Tricep Extension,2,25,10,500,18.33
29-Dec,Pull,Traps,Barbell Shrugs,2,20,40,1600,66.67
2-Jan,Pull,Back (compound),Wide-Grip Lat Pulldown,2,30,40,2400,80
2-Jan,Pull,Back (compound),Iso-Lateral Low Row,2,55,35,3850,99.17
2-Jan,Push,Chest (isolation),Pec Deck ,2,23,32,1472,56.53
2-Jan,Push,Shoulders (compound),Shoulder Press Machine,2,23,32,1472,56.53
2-Jan,Pull,Biceps,Biceps Cable Curl,2,18,10,360,16
2-Jan,Push,Triceps,Tricep Rope Pushdown,2,16,17.5,560,26.83
3-Jan,Legs,Legs (isolation),Lying Hamstring Curls,2,24,18,864,32.4
3-Jan,Legs,Legs (compound),Back Squat,2,22,40,1760,69.33
3-Jan,Legs,Legs (isolation),Leg Extension,2,26,50,2600,93.33
3-Jan,Legs,Legs (compound),Dumbbell Wide Squat,2,32,22.5,1440,46.5
3-Jan,Legs,Calves,Seated Calf Raise,2,24,20,960,36
3-Jan,Legs,Legs/Posterior Chain,Dumbbell Deadlift,2,24,15,720,27
3-Jan,Core,Core,Reverse Crunch,2,28,1,56,1.93
5-Jan,Push,Chest (compound),Dumbbell Bench Press,2,24,15,720,27
5-Jan,Push,Chest (isolation),Pec Deck ,2,18,36,1296,57.6
5-Jan,Push,Shoulders (compound),Dumbbell Shoulder Press,2,26,12.5,650,23.33
5-Jan,Push,Shoulders (isolation),Hip-height Cable Lateral Raises,2,41,5,410,11.83
