Date,Workout Type,Workout Name,Sets,Reps,Weight (kg),Volume Load (kg)
17-Dec,Back (compound),Wide-Grip Lat Pulldown,2,30,32.5,1950
17-Dec,Back (compound),Single Arm Cable Row,2,24,19,912
17-Dec,Shoulders (compound),Dumbbell Shoulder Press,2,20,12.5,500
17-Dec,Shoulders (isolation),Hip-height Cable Lateral Raises,2,5,20,200
17-Dec,Chest (compound),Dumbbell Bench Press,2,20,10,400
17-Dec,Triceps,Isolated Tricep Pushdown,2,16,10,320
19-Dec,Legs (compound),Back Squat,2,28,30,1680
19-Dec,Legs (isolation),Leg Extension,2,35,40,2800
19-Dec,Legs (isolation),Seated Hamstring Curls,2,30,60,3600
19-Dec,Hips/Glutes (abductor),Outer Thigh Abduction,2,30,25,1500
19-Dec,Hips/Adductors,Inner Thigh Abduction,2,24,25,1200
19-Dec,Calves,Standing Barbell Calf Raise,2,24,40,1920
19-Dec,Core,Crunches,2,25,1,50
19-Dec,Forearms/Grip,Seated Dumbbell Wrist Curls,2,30,8,480
19-Dec,Forearms/Grip,Seated Dumbbell Reverse Wrist Curls,2,30,8,480
19-Dec,Traps,Trap Bar Shrugs,2,24,40,1920
