date,week,weight,shoulders,arm,forearm,chest,waist,hips,thigh,body_fat,muscle_mass,workout_category,workout_type,workout_name,sets,reps,weight_kg,volume_load_kg,estimated_one_repMax,total_sets,total_reps,total_volume_load,avg_intensity_weight,avg_e1rm,vol_core,vol_legs,vol_pull,vol_push,vol_posteriorchain,total_calories,total_protein,water_intake,crea_intake,avg_calories,avg_protein,avg_water,creatine_days
2025-11-24,0,66.0,47.0,31.5,27.5,92.0,85.0,92.0,57.0,22.0,29.2,Pull,Back (vertical pull),Wide-Grip Lat Pulldown,2.0,20.0,20.0,800.0,33.33,48.0,512.0,19780.0,19.729166666666668,33.46458333333333,40.0,9580.0,5300.0,4860.0,0.0,1102.0,22.0,2.0,5.0,1272.857142857143,47.0,2.4285714285714284,7.0
2025-11-24,0,66.0,47.0,31.5,27.5,92.0,85.0,92.0,57.0,22.0,29.2,Pull,Back (horizontal pull),Cable Row,2.0,20.0,32.5,1300.0,54.17,48.0,512.0,19780.0,19.729166666666668,33.46458333333333,40.0,9580.0,5300.0,4860.0,0.0,1102.0,22.0,2.0,5.0,1272.857142857143,47.0,2.4285714285714284,7.0
2025-11-24,0,66.0,47.0,31.5,27.5,92.0,85.0,92.0,57.0,22.0,29.2,Pull,Biceps,Biceps Cable Curl,2.0,20.0,20.0,800.0,33.33,48.0,512.0,19780.0,19.729166666666668,33.46458333333333,40.0,9580.0,5300.0,4860.0,0.0,1102.0,22.0,2.0,5.0,1272.857142857143,47.0,2.4285714285714284,7.0
2025-11-24,0,66.0,47.0,31.5,27.5,92.0,85.0,92.0,57.0,22.0,29.2,Push,Chest (compound),Flat Bench Press,2.0,20.0,20.0,800.0,33.33,48.0,512.0,19780.0,19.729166666666668,33.46458333333333,40.0,9580.0,5300.0,4860.0,0.0,1102.0,22.0,2.0,5.0,1272.857142857143,47.0,2.4285714285714284,7.0
2025-11-24,0,66.0,47.0,31.5,27.5,92.0,85.0,92.0,57.0,22.0,29.2,Push,Chest (isolation),Pec Deck ,2.0,20.0,20.0,800.0,33.33,48.0,512.0,19780.0,19.729166666666668,33.46458333333333,40.0,9580.0,5300.0,4860.0,0.0,1102.0,22.0,2.0,5.0,1272.857142857143,47.0,2.4285714285714284,7.0
2025-11-24,0,66.0,47.0,31.5,27.5,92.0,85.0,92.0,57.0,22.0,29.2,Push,Triceps,Front and Back Triceps Pushdown,2.0,12.0,15.0,360.0,21.0,48.0,512.0,19780.0,19.729166666666668,33.46458333333333,40.0,9580.0,5300.0,4860.0,0.0,1102.0,22.0,2.0,5.0,1272.857142857143,47.0,2.4285714285714284,7.0
2025-11-25,0,66.0,47.0,31.5,27.5,92.0,85.0,92.0,57.0,22.0,29.2,Core,Core,Crunches,2.0,20.0,1.0,40.0,1.67,48.0,512.0,19780.0,19.729166666666668,33.46458333333333,40.0,9580.0,5300.0,4860.0,0.0,1171.0,60.0,2.5,5.0,1272.857142857143,47.0,2.4285714285714284,7.0
2025-11-25,0,66.0,47.0,31.5,27.5,92.0,85.0,92.0,57.0,22.0,29.2,Legs,Legs (compound),Back Squat,2.0,24.0,20.0,960.0,36.0,48.0,512.0,19780.0,19.729166666666668,33.46458333333333,40.0,9580.0,5300.0,4860.0,0.0,1171.0,60.0,2.5,5.0,1272.857142857143,47.0,2.4285714285714284,7.0
2025-11-25,0,66.0,47.0,31.5,27.5,92.0,85.0,92.0,57.0,22.0,29.2,Legs,Legs (isolation),Leg Extension,2.0,24.0,30.0,1440.0,54.0,48.0,512.0,19780.0,19.729166666666668,33.46458333333333,40.0,9580.0,5300.0,4860.0,0.0,1171.0,60.0,2.5,5.0,1272.857142857143,47.0,2.4285714285714284,7.0
2025-11-25,0,66.0,47.0,31.5,27.5,92.0,85.0,92.0,57.0,22.0,29.2,Legs,Legs (isolation),Seated Hamstring Curls,2.0,24.0,30.0,1440.0,54.0,48.0,512.0,19780.0,19.729166666666668,33.46458333333333,40.0,9580.0,5300.0,4860.0,0.0,1171.0,60.0,2.5,5.0,1272.857142857143,47.0,2.4285714285714284,7.0
